,docket,year,issue,issue_area,case_source_circuit,case_origin_circuit,lc_direction,lc_disposition,overturn_count_predict,overturn_count_actual,overturn_predict,overturn_actual,justice_1,justice_2,justice_3,justice_4,justice_5,justice_6,justice_7,justice_8,justice_9,justice_1_dir,justice_2_dir,justice_3_dir,justice_4_dir,justice_5_dir,justice_6_dir,justice_7_dir,justice_8_dir,justice_9_dir,justice_chief,correct
35,1946-137-01,1946,90370.0,9.0,-99.0,-99.0,1.0,-99.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,False
36,1946-138-01,1946,10190.0,1.0,0.0,0.0,1.0,2.0,0.4444444444444444,0.4444444444444444,False,False,0,0,0,0,0,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,0.0,True
37,1946-139-01,1946,80070.0,8.0,9.0,9.0,1.0,3.0,1.0,0.1111111111111111,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,False
38,1946-140-01,1946,80010.0,8.0,2.0,2.0,1.0,-99.0,1.0,0.5555555555555556,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,True
39,1947-001-01,1947,10430.0,1.0,6.0,6.0,1.0,2.0,1.0,0.7777777777777778,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4202898550724639,1.4316546762589928,1.443609022556391,1.4779411764705883,1.4852941176470589,1.6194029850746268,1.6470588235294117,1.6618705035971224,1.7058823529411764,1.0,True
40,1947-002-01,1947,80060.0,8.0,0.0,0.0,2.0,2.0,0.4444444444444444,0.5555555555555556,False,True,1,0,1,1,1,0,0,0.0,0.0,1.4202898550724639,1.4316546762589928,1.443609022556391,1.4779411764705883,1.4852941176470589,1.6194029850746268,1.6470588235294117,1.6618705035971224,1.7058823529411764,1.0,False
41,1947-003-01,1947,20110.0,2.0,9.0,9.0,1.0,3.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4202898550724639,1.4316546762589928,1.443609022556391,1.4779411764705883,1.4852941176470589,1.6194029850746268,1.6470588235294117,1.6618705035971224,1.7058823529411764,1.0,True
42,1947-004-01,1947,80010.0,8.0,2.0,2.0,2.0,-99.0,1.0,0.3333333333333333,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4202898550724639,1.4316546762589928,1.443609022556391,1.4779411764705883,1.4852941176470589,1.6194029850746268,1.6470588235294117,1.6618705035971224,1.7058823529411764,1.0,False
43,1947-005-01,1947,80060.0,8.0,13.0,13.0,2.0,-99.0,0.7777777777777778,0.5555555555555556,True,True,0,1,1,1,0,1,1,1.0,1.0,1.4142857142857144,1.4326241134751774,1.4444444444444444,1.4782608695652173,1.4855072463768115,1.6176470588235294,1.6521739130434783,1.6595744680851063,1.710144927536232,0.0,True
44,1947-006-01,1947,70040.0,7.0,6.0,6.0,2.0,4.0,1.0,0.5555555555555556,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4142857142857144,1.4326241134751774,1.4444444444444444,1.4782608695652173,1.4855072463768115,1.6176470588235294,1.6521739130434783,1.6595744680851063,1.710144927536232,1.0,True
45,1947-007-01,1947,30130.0,3.0,9.0,-99.0,1.0,2.0,1.0,0.4444444444444444,True,False,1,1,1,1,1,1,1,1.0,1.0,1.408450704225352,1.4265734265734267,1.437956204379562,1.4714285714285715,1.4785714285714286,1.6231884057971016,1.6571428571428573,1.6643356643356644,1.7142857142857142,1.0,False
46,1947-008-01,1947,80040.0,8.0,6.0,6.0,1.0,2.0,0.8888888888888888,1.0,True,True,0,1,1,1,1,1,1,1.0,1.0,1.408450704225352,1.4265734265734267,1.437956204379562,1.4714285714285715,1.4785714285714286,1.6231884057971016,1.6571428571428573,1.6643356643356644,1.7142857142857142,1.0,True
47,1947-009-01,1947,20040.0,2.0,0.0,0.0,1.0,2.0,0.4444444444444444,1.0,False,True,0,0,0,0,0,1,1,1.0,1.0,1.4149659863945578,1.4391891891891893,1.4507042253521127,1.4825174825174825,1.4827586206896552,1.6293706293706294,1.6620689655172414,1.6689189189189189,1.717241379310345,0.0,False
48,1947-010-01,1947,40070.0,4.0,2.0,2.0,2.0,2.0,0.5555555555555556,0.1111111111111111,True,False,1,1,1,1,1,0,0,0.0,0.0,1.4149659863945578,1.4391891891891893,1.4507042253521127,1.4825174825174825,1.4827586206896552,1.6293706293706294,1.6620689655172414,1.6689189189189189,1.717241379310345,1.0,False
49,1947-011-01,1947,40070.0,4.0,12.0,12.0,1.0,3.0,1.0,0.1111111111111111,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4149659863945578,1.4391891891891893,1.4507042253521127,1.4825174825174825,1.4827586206896552,1.6293706293706294,1.6620689655172414,1.6689189189189189,1.717241379310345,1.0,False
50,1947-012-01,1947,90120.0,9.0,9.0,9.0,1.0,2.0,1.0,0.7777777777777778,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4149659863945578,1.4391891891891893,1.4507042253521127,1.4825174825174825,1.4827586206896552,1.6293706293706294,1.6620689655172414,1.6689189189189189,1.717241379310345,1.0,True
51,1947-013-01,1947,80100.0,8.0,0.0,0.0,2.0,6.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4149659863945578,1.4391891891891893,1.4507042253521127,1.4825174825174825,1.4827586206896552,1.6293706293706294,1.6620689655172414,1.6689189189189189,1.717241379310345,1.0,False
52,1947-014-01,1947,100030.0,10.0,0.0,0.0,2.0,3.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4189189189189189,1.4429530201342282,1.4545454545454546,1.4861111111111112,1.4863013698630136,1.6319444444444444,1.6643835616438356,1.6711409395973154,1.7191780821917808,1.0,True
53,1947-015-01,1947,120010.0,12.0,10.0,10.0,1.0,2.0,1.0,0.8888888888888888,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4210526315789473,1.4444444444444444,1.4557823129251701,1.4864864864864864,1.4866666666666666,1.614864864864865,1.66,1.6666666666666667,1.7181208053691275,1.0,True
54,1947-016-01,1947,120010.0,12.0,6.0,6.0,1.0,2.0,1.0,0.8888888888888888,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4210526315789473,1.4444444444444444,1.4557823129251701,1.4864864864864864,1.4866666666666666,1.614864864864865,1.66,1.6666666666666667,1.7181208053691275,1.0,True
55,1947-017-01,1947,10400.0,1.0,9.0,9.0,1.0,2.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4210526315789473,1.4444444444444444,1.4557823129251701,1.4864864864864864,1.4866666666666666,1.614864864864865,1.66,1.6666666666666667,1.7181208053691275,1.0,False
56,1947-018-01,1947,10280.0,1.0,0.0,0.0,1.0,-99.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4210526315789473,1.4444444444444444,1.4557823129251701,1.4864864864864864,1.4866666666666666,1.614864864864865,1.66,1.6666666666666667,1.7181208053691275,1.0,True
57,1947-019-01,1947,90110.0,9.0,7.0,7.0,1.0,5.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4322580645161291,1.455128205128205,1.4666666666666666,1.4966887417218544,1.4967320261437909,1.6225165562913908,1.6666666666666667,1.6730769230769231,1.7236842105263157,1.0,True
58,1947-020-01,1947,10400.0,1.0,3.0,3.0,1.0,2.0,0.5555555555555556,1.0,True,True,0,0,1,0,0,1,1,1.0,1.0,1.4322580645161291,1.455128205128205,1.4666666666666666,1.4966887417218544,1.4967320261437909,1.6225165562913908,1.6666666666666667,1.6730769230769231,1.7236842105263157,0.0,True
59,1947-021-01,1947,10050.0,1.0,2.0,2.0,2.0,3.0,0.6666666666666666,0.2222222222222222,True,False,1,1,0,0,1,1,0,1.0,1.0,1.4322580645161291,1.455128205128205,1.4666666666666666,1.4966887417218544,1.4967320261437909,1.6225165562913908,1.6666666666666667,1.6730769230769231,1.7236842105263157,0.0,False
60,1947-022-01,1947,10010.0,1.0,0.0,0.0,1.0,9.0,0.4444444444444444,0.5555555555555556,False,True,0,0,0,0,0,1,1,1.0,1.0,1.4303797468354431,1.4591194968553458,1.4640522875816993,1.4870129870129871,1.4935897435897436,1.62987012987013,1.6666666666666667,1.679245283018868,1.729032258064516,0.0,False
61,1947-023-01,1947,80040.0,8.0,3.0,3.0,1.0,3.0,0.7777777777777778,0.4444444444444444,True,False,0,1,1,0,1,1,1,1.0,1.0,1.4303797468354431,1.4591194968553458,1.4640522875816993,1.4870129870129871,1.4935897435897436,1.62987012987013,1.6666666666666667,1.679245283018868,1.729032258064516,0.0,False
62,1947-024-01,1947,20050.0,2.0,0.0,0.0,1.0,2.0,0.5555555555555556,1.0,True,True,0,0,0,0,1,1,1,1.0,1.0,1.4303797468354431,1.4591194968553458,1.4640522875816993,1.4870129870129871,1.4935897435897436,1.62987012987013,1.6666666666666667,1.679245283018868,1.729032258064516,0.0,True
63,1947-025-01,1947,20040.0,2.0,0.0,0.0,1.0,2.0,1.0,0.6666666666666666,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4320987654320987,1.464968152866242,1.4662576687116564,1.4875,1.4936708860759493,1.639240506329114,1.675,1.687116564417178,1.7358490566037736,1.0,True
64,1947-026-01,1947,80170.0,8.0,5.0,11.0,1.0,3.0,1.0,0.6666666666666666,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4320987654320987,1.464968152866242,1.4662576687116564,1.4875,1.4936708860759493,1.639240506329114,1.675,1.687116564417178,1.7358490566037736,1.0,True
65,1947-027-01,1947,10120.0,1.0,6.0,6.0,1.0,2.0,0.8888888888888888,0.6666666666666666,True,True,0,1,1,1,1,1,1,1.0,1.0,1.4320987654320987,1.464968152866242,1.4662576687116564,1.4875,1.4936708860759493,1.639240506329114,1.675,1.687116564417178,1.7358490566037736,1.0,True
66,1947-028-01,1947,10010.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4320987654320987,1.464968152866242,1.4662576687116564,1.4875,1.4936708860759493,1.639240506329114,1.675,1.687116564417178,1.7358490566037736,1.0,True
67,1947-029-01,1947,20240.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.437125748502994,1.4753086419753085,1.4761904761904763,1.490909090909091,1.4969325153374233,1.6503067484662577,1.6787878787878787,1.6904761904761905,1.7378048780487805,1.0,True
68,1947-030-01,1947,20110.0,2.0,9.0,9.0,1.0,2.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.437125748502994,1.4753086419753085,1.4761904761904763,1.490909090909091,1.4969325153374233,1.6503067484662577,1.6787878787878787,1.6904761904761905,1.7378048780487805,1.0,True
69,1947-031-01,1947,10050.0,1.0,9.0,9.0,1.0,2.0,1.0,0.5555555555555556,True,True,1,1,1,1,1,1,1,1.0,1.0,1.437125748502994,1.4753086419753085,1.4761904761904763,1.490909090909091,1.4969325153374233,1.6503067484662577,1.6787878787878787,1.6904761904761905,1.7378048780487805,1.0,True
70,1947-032-01,1947,10410.0,1.0,8.0,8.0,2.0,3.0,0.7777777777777778,0.7777777777777778,True,True,1,1,1,1,1,1,1,0.0,0.0,1.437125748502994,1.4753086419753085,1.4761904761904763,1.490909090909091,1.4969325153374233,1.6503067484662577,1.6787878787878787,1.6904761904761905,1.7378048780487805,1.0,True
71,1947-033-01,1947,20040.0,2.0,0.0,0.0,2.0,2.0,1.0,0.2222222222222222,True,False,1,1,1,1,1,1,1,1.0,1.0,1.437125748502994,1.4753086419753085,1.4761904761904763,1.490909090909091,1.4969325153374233,1.6503067484662577,1.6787878787878787,1.6904761904761905,1.7378048780487805,1.0,False
72,1947-034-01,1947,80040.0,8.0,9.0,9.0,1.0,3.0,1.0,0.6666666666666666,True,True,1,1,1,1,1,1,1,1.0,1.0,1.432748538011696,1.463855421686747,1.4709302325581395,1.4910179640718564,1.4911242603550297,1.652694610778443,1.680473372781065,1.697674418604651,1.7380952380952381,1.0,True
73,1947-035-01,1947,10080.0,1.0,2.0,2.0,2.0,2.0,0.8888888888888888,0.7777777777777778,True,True,1,1,1,0,1,1,1,1.0,1.0,1.432748538011696,1.463855421686747,1.4709302325581395,1.4910179640718564,1.4911242603550297,1.652694610778443,1.680473372781065,1.697674418604651,1.7380952380952381,0.0,True
74,1947-036-01,1947,90190.0,9.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,True,True,1,1,1,1,1,1,1,1.0,1.0,1.432748538011696,1.463855421686747,1.4709302325581395,1.4910179640718564,1.4911242603550297,1.652694610778443,1.680473372781065,1.697674418604651,1.7380952380952381,1.0,True
75,1947-037-01,1947,90120.0,9.0,5.0,5.0,2.0,9.0,0.5555555555555556,0.5555555555555556,True,True,1,1,1,1,1,0,0,0.0,0.0,1.432748538011696,1.463855421686747,1.4709302325581395,1.4910179640718564,1.4911242603550297,1.652694610778443,1.680473372781065,1.697674418604651,1.7380952380952381,1.0,True
76,1947-038-01,1947,80110.0,8.0,0.0,0.0,2.0,9.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4285714285714286,1.4588235294117646,1.4715909090909092,1.4912280701754386,1.4971098265895955,1.654970760233918,1.6820809248554913,1.6988636363636365,1.7325581395348837,1.0,True
77,1947-039-01,1947,80180.0,8.0,7.0,7.0,1.0,3.0,1.0,0.7777777777777778,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4285714285714286,1.4588235294117646,1.4715909090909092,1.4912280701754386,1.4971098265895955,1.654970760233918,1.6820809248554913,1.6988636363636365,1.7325581395348837,1.0,True
78,1947-040-01,1947,40070.0,4.0,6.0,6.0,1.0,-99.0,0.8888888888888888,1.0,True,True,0,1,1,1,1,1,1,1.0,1.0,1.4285714285714286,1.4588235294117646,1.4715909090909092,1.4912280701754386,1.4971098265895955,1.654970760233918,1.6820809248554913,1.6988636363636365,1.7325581395348837,1.0,True
79,1947-041-01,1947,20050.0,2.0,-99.0,-99.0,1.0,-99.0,1.0,0.2222222222222222,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4285714285714286,1.4588235294117646,1.4715909090909092,1.4912280701754386,1.4971098265895955,1.654970760233918,1.6820809248554913,1.6988636363636365,1.7325581395348837,1.0,False
80,1947-042-01,1947,90320.0,9.0,4.0,4.0,2.0,3.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1.0,1.0,1.435483870967742,1.458100558659218,1.4705882352941178,1.4945054945054945,1.5,1.664835164835165,1.6793478260869565,1.7005347593582887,1.7322404371584699,1.0,False
81,1947-043-01,1947,90140.0,9.0,5.0,5.0,1.0,2.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1.0,1.0,1.435483870967742,1.458100558659218,1.4705882352941178,1.4945054945054945,1.5,1.664835164835165,1.6793478260869565,1.7005347593582887,1.7322404371584699,1.0,False
82,1947-044-01,1947,80220.0,8.0,6.0,6.0,1.0,-99.0,1.0,0.8888888888888888,True,True,1,1,1,1,1,1,1,1.0,1.0,1.435483870967742,1.458100558659218,1.4705882352941178,1.4945054945054945,1.5,1.664835164835165,1.6793478260869565,1.7005347593582887,1.7322404371584699,1.0,True
83,1947-045-01,1947,30020.0,3.0,12.0,12.0,2.0,2.0,1.0,0.7777777777777778,True,True,1,1,1,1,1,1,1,1.0,1.0,1.435483870967742,1.458100558659218,1.4705882352941178,1.4945054945054945,1.5,1.664835164835165,1.6793478260869565,1.7005347593582887,1.7322404371584699,1.0,True
84,1947-046-01,1947,40010.0,4.0,0.0,0.0,1.0,2.0,0.4444444444444444,1.0,False,True,0,0,0,0,0,1,1,1.0,1.0,1.435483870967742,1.458100558659218,1.4705882352941178,1.4945054945054945,1.5,1.664835164835165,1.6793478260869565,1.7005347593582887,1.7322404371584699,0.0,False
