,docket,year,issue,issue_area,case_source_circuit,case_origin_circuit,lc_direction,lc_disposition,overturn_count_predict,overturn_count_actual,overturn_predict,overturn_actual,justice_1,justice_2,justice_3,justice_4,justice_5,justice_6,justice_7,justice_8,justice_9,justice_1_dir,justice_2_dir,justice_3_dir,justice_4_dir,justice_5_dir,justice_6_dir,justice_7_dir,justice_8_dir,justice_9_dir,justice_chief,correct
0,1946-102-01,1946,30010.0,3.0,0.0,0.0,1.0,9.0,0.6666666666666666,0.6666666666666666,True,True,1,0,1,0,0,1,1,1.0,1.0,1.4257425742574257,1.4554455445544554,1.4583333333333333,1.4795918367346939,1.49,1.59,1.6363636363636365,1.6633663366336633,1.7040816326530612,0.0,True
1,1946-103-01,1946,70130.0,7.0,7.0,7.0,1.0,9.0,1.0,0.6666666666666666,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4257425742574257,1.4554455445544554,1.4583333333333333,1.4795918367346939,1.49,1.59,1.6363636363636365,1.6633663366336633,1.7040816326530612,1.0,True
2,1946-104-01,1946,90130.0,9.0,6.0,6.0,1.0,9.0,1.0,0.5555555555555556,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4257425742574257,1.4554455445544554,1.4583333333333333,1.4795918367346939,1.49,1.59,1.6363636363636365,1.6633663366336633,1.7040816326530612,1.0,True
3,1946-105-01,1946,80170.0,8.0,9.0,9.0,1.0,-99.0,1.0,0.8888888888888888,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4257425742574257,1.4554455445544554,1.4583333333333333,1.4795918367346939,1.49,1.59,1.6363636363636365,1.6633663366336633,1.7040816326530612,1.0,True
4,1946-106-01,1946,90520.0,9.0,3.0,3.0,2.0,3.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4230769230769231,1.4444444444444444,1.4519230769230769,1.4752475247524752,1.4901960784313726,1.5825242718446602,1.6274509803921569,1.6538461538461537,1.693069306930693,1.0,True
5,1946-107-01,1946,10370.0,1.0,3.0,3.0,2.0,9.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4230769230769231,1.4444444444444444,1.4519230769230769,1.4752475247524752,1.4901960784313726,1.5825242718446602,1.6274509803921569,1.6538461538461537,1.693069306930693,1.0,True
6,1946-108-01,1946,80040.0,8.0,3.0,3.0,1.0,2.0,0.4444444444444444,1.0,False,True,0,0,0,0,0,1,1,1.0,1.0,1.4230769230769231,1.4444444444444444,1.4519230769230769,1.4752475247524752,1.4901960784313726,1.5825242718446602,1.6274509803921569,1.6538461538461537,1.693069306930693,0.0,False
7,1946-109-01,1946,80100.0,8.0,0.0,0.0,2.0,11.0,1.0,0.4444444444444444,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4414414414414414,1.4433962264150944,1.4594594594594594,1.4814814814814814,1.4862385321100917,1.5909090909090908,1.6238532110091743,1.6486486486486487,1.6851851851851851,1.0,False
8,1946-110-01,1946,20310.0,2.0,9.0,9.0,1.0,2.0,0.7777777777777778,1.0,True,True,1,0,0,1,1,1,1,1.0,1.0,1.4414414414414414,1.4433962264150944,1.4594594594594594,1.4814814814814814,1.4862385321100917,1.5909090909090908,1.6238532110091743,1.6486486486486487,1.6851851851851851,1.0,True
9,1946-111-01,1946,70200.0,7.0,7.0,7.0,1.0,-99.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4414414414414414,1.4433962264150944,1.4594594594594594,1.4814814814814814,1.4862385321100917,1.5909090909090908,1.6238532110091743,1.6486486486486487,1.6851851851851851,1.0,True
10,1946-112-01,1946,20240.0,2.0,2.0,2.0,2.0,3.0,0.0,0.7777777777777778,False,True,0,0,0,0,0,0,0,0.0,0.0,1.4414414414414414,1.4433962264150944,1.4594594594594594,1.4814814814814814,1.4862385321100917,1.5909090909090908,1.6238532110091743,1.6486486486486487,1.6851851851851851,0.0,False
11,1946-113-01,1946,90380.0,9.0,0.0,0.0,1.0,3.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4414414414414414,1.4433962264150944,1.4594594594594594,1.4814814814814814,1.4862385321100917,1.5909090909090908,1.6238532110091743,1.6486486486486487,1.6851851851851851,1.0,False
12,1946-114-01,1946,90180.0,9.0,0.0,0.0,1.0,9.0,1.0,0.2222222222222222,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4414414414414414,1.4433962264150944,1.4594594594594594,1.4814814814814814,1.4862385321100917,1.5909090909090908,1.6238532110091743,1.6486486486486487,1.6851851851851851,1.0,False
13,1946-115-01,1946,110030.0,11.0,0.0,0.0,1.5,2.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4414414414414414,1.4433962264150944,1.4594594594594594,1.4814814814814814,1.4862385321100917,1.5909090909090908,1.6238532110091743,1.6486486486486487,1.6851851851851851,1.0,True
14,1946-116-01,1946,80030.0,8.0,2.0,2.0,2.0,3.0,1.0,0.2222222222222222,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4453781512605042,1.4473684210526316,1.4576271186440677,1.5,1.5042735042735043,1.5932203389830508,1.6324786324786325,1.6470588235294117,1.6896551724137931,1.0,False
15,1946-117-01,1946,80300.0,8.0,5.0,5.0,2.0,9.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4453781512605042,1.4473684210526316,1.4576271186440677,1.5,1.5042735042735043,1.5932203389830508,1.6324786324786325,1.6470588235294117,1.6896551724137931,1.0,False
16,1946-118-01,1946,120010.0,12.0,6.0,22.0,2.0,3.0,1.0,0.1111111111111111,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4453781512605042,1.4473684210526316,1.4576271186440677,1.5,1.5042735042735043,1.5932203389830508,1.6324786324786325,1.6470588235294117,1.6896551724137931,1.0,False
17,1946-119-01,1946,120010.0,12.0,10.0,10.0,2.0,2.0,1.0,0.6666666666666666,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4453781512605042,1.4473684210526316,1.4576271186440677,1.5,1.5042735042735043,1.5932203389830508,1.6324786324786325,1.6470588235294117,1.6896551724137931,1.0,True
18,1946-120-01,1946,70040.0,7.0,10.0,10.0,2.0,3.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4453781512605042,1.4473684210526316,1.4576271186440677,1.5,1.5042735042735043,1.5932203389830508,1.6324786324786325,1.6470588235294117,1.6896551724137931,1.0,False
19,1946-121-01,1946,80070.0,8.0,0.0,0.0,1.0,3.0,1.0,0.2222222222222222,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4453781512605042,1.4473684210526316,1.4576271186440677,1.5,1.5042735042735043,1.5932203389830508,1.6324786324786325,1.6470588235294117,1.6896551724137931,1.0,False
20,1946-122-01,1946,120010.0,12.0,3.0,22.0,2.0,2.0,1.0,0.2222222222222222,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4453781512605042,1.4473684210526316,1.4576271186440677,1.5,1.5042735042735043,1.5932203389830508,1.6324786324786325,1.6470588235294117,1.6896551724137931,1.0,False
21,1946-123-01,1946,40070.0,4.0,4.0,4.0,1.0,2.0,0.3333333333333333,0.0,False,False,0,0,0,0,0,0,1,1.0,1.0,1.4453781512605042,1.4473684210526316,1.4576271186440677,1.5,1.5042735042735043,1.5932203389830508,1.6324786324786325,1.6470588235294117,1.6896551724137931,0.0,True
22,1946-124-01,1946,90050.0,9.0,12.0,12.0,1.0,-99.0,1.0,0.1111111111111111,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4453781512605042,1.4473684210526316,1.4576271186440677,1.5,1.5042735042735043,1.5932203389830508,1.6324786324786325,1.6470588235294117,1.6896551724137931,1.0,False
23,1946-125-01,1946,30010.0,3.0,7.0,7.0,2.0,-99.0,1.0,0.6666666666666666,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,True
24,1946-126-01,1946,10090.0,1.0,0.0,0.0,1.0,2.0,1.0,0.4444444444444444,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,False
25,1946-127-01,1946,120010.0,12.0,8.0,8.0,2.0,3.0,1.0,0.6666666666666666,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,True
26,1946-128-01,1946,10120.0,1.0,0.0,0.0,1.0,2.0,0.4444444444444444,0.4444444444444444,False,False,0,0,0,0,0,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,0.0,True
27,1946-129-01,1946,10120.0,1.0,0.0,0.0,1.0,-99.0,1.0,0.4444444444444444,True,False,1,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,False
28,1946-130-01,1946,80070.0,8.0,0.0,0.0,1.0,2.0,0.6666666666666666,0.4444444444444444,True,False,0,0,0,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,False
29,1946-131-01,1946,80100.0,8.0,0.0,0.0,2.0,3.0,0.7777777777777778,0.0,True,False,0,1,1,1,0,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,False
30,1946-132-01,1946,30130.0,3.0,4.0,4.0,1.0,2.0,0.4444444444444444,0.3333333333333333,False,False,0,0,0,0,0,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,0.0,True
31,1946-133-01,1946,80120.0,8.0,12.0,12.0,1.0,3.0,1.0,0.7777777777777778,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,True
32,1946-134-01,1946,80010.0,8.0,7.0,7.0,1.0,-99.0,1.0,0.8888888888888888,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,True
33,1946-135-01,1946,80060.0,8.0,13.0,13.0,1.0,-99.0,0.8888888888888888,0.8888888888888888,True,True,0,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,True
34,1946-136-01,1946,80030.0,8.0,9.0,9.0,1.0,-99.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1.0,1.0,1.4253731343283582,1.4296296296296296,1.4307692307692308,1.4772727272727273,1.4848484848484849,1.6076923076923078,1.6390977443609023,1.6592592592592592,1.7045454545454546,1.0,True
