caseId	docketId	caseIssuesId	voteId	dateDecision	decisionType	usCite	sctCite	ledCite	lexisCite	term	naturalCourt	chief	docket	caseName	dateArgument	dateRearg	petitioner	petitionerState	respondent	respondentState	jurisdiction	adminAction	adminActionState	threeJudgeFdc	caseOrigin	caseOriginState	caseSource	caseSourceState	lcDisagreement	certReason	lcDisposition	lcDispositionDirection	declarationUncon	caseDisposition	caseDispositionUnusual	partyWinning	precedentAlteration	voteUnclear	issue	issueArea	decisionDirection	decisionDirectionDissent	authorityDecision1	authorityDecision2	lawType	lawSupp	lawMinor	majOpinWriter	majOpinAssigner	splitVote	majVotes	minVotes
2015-001	2015-001	2015-001	2015-001	3/9/2016						2015	1704	Roberts	14-520	Hawkins v. Community Bank of Raymore	10/5/2015		163		113		1			0	87		28		0	2	2	1	1						20130	2					3	600	Equal Credit Opportunity Act					
2015-002	2015-002	2015-002	2015-002	12/1/2015						2015	1704	Roberts	13-1067	OBB Personenverkehr AG v. Sachs	10/5/2015		208	6	24		1			0	50		29		1	2	4	2	1						130020	13					3	513						
2015-003	2015-003	2015-003	2015-003	3/9/2016						2015	1704	Roberts	14-361	Ocasio v. U.S.	10/6/2015		126		27		1			0	79		24		0	2	7	1	1						10470	1					3	600	Hobbs Act					
2015-004	2015-004	2015-004	2015-004	12/14/2015						2015	1704	Roberts	14-462	DIRECTV v. Imburgia	10/6/2015		205		134		1			0	302	6	301	6	0	5	2	2	1						80160	8					3	388						
2015-005	2015-005	2015-005	2015-005	1/20/2016						2015	1704	Roberts	14-450	Kansas v. Carr	10/7/2015		28	20	126		1			0	302	20	300	20	1	6	7	2	1						10130	1					2	221						
2015-006	2015-006	2015-006	2015-006	1/20/2016						2015	1704	Roberts	14-449	Kansas v. Carr	10/7/2015		28	20	126		1			0	302	20	300	20	1	6	7	2	1						10130	1					2	221						
2015-007	2015-007	2015-007	2015-007	1/20/2016						2015	1704	Roberts	14-452	Kansas v. Gleason	10/7/2015		28	20	126		1			0	302	20	300	20	1	6	7	2	1						10130	1					2	221						
2015-008	2015-008	2015-008	2015-008	1/25/2016						2015	1704	Roberts	14-280	Montgomery v. Louisiana	10/13/2015		126		28	22	1			0	302	22	300	22	1	2	9	1	1						10040	1					2	221						
2015-009	2015-009	2015-009	2015-009	1/12/2016						2015	1704	Roberts	14-7505	Hurst v. Florida 	10/13/2015		126		28	12	1			0	302	12	300	12	1	9	2	1	1						10130	1					2	221						
2015-010	2015-010	2015-010	2015-010	1/25/2016						2015	1704	Roberts	14-840	Federal Energy Regulatory Commission v. Electric Power Supply Association	10/14/2015		344		148		1	44		0	32		32		1	10	4	1	1						80270	8					3	336						
